Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
61,Entry long,2026-03-18 06:30,Long,0.81,1176,952.56,-178.13,-18.68,0,0.00,-177.35,-18.60,-2674,-59.42
62,Exit long,2026-03-20 10:24,ST Flip,0.64,1408,999.68,-100.46,-10.04,0,0.00,-99.56,-9.95,-2774.46,-61.65
62,Entry long,2026-03-19 15:07,Long,0.71,1408,999.68,-100.46,-10.04,0,0.00,-99.56,-9.95,-2774.46,-61.65
63,Exit long,2026-03-20 15:59,Stop,0.66,1298,960.52,-105.66,-10.99,0,0.00,-117.78,-12.25,-2880.12,-64.00
63,Entry long,2026-03-20 14:25,Long,0.74,1298,960.52,-105.66,-10.99,0,0.00,-117.78,-12.25,-2880.12,-64.00
64,Exit long,2026-03-24 11:10,Stop,0.55,1492,999.64,-180.86,-18.07,0,0.00,-180.04,-17.99,-3060.98,-68.02
64,Entry long,2026-03-24 05:26,Long,0.67,1492,999.64,-180.86,-18.07,0,0.00,-180.04,-17.99,-3060.98,-68.02
65,Exit long,2026-03-25 13:51,Stop,0.55,1538,999.7,-155.65,-15.55,0,0.00,-154.8,-15.47,-3216.63,-71.48
65,Entry long,2026-03-25 11:34,Long,0.65,1538,999.7,-155.65,-15.55,0,0.00,-154.8,-15.47,-3216.63,-71.48
66,Exit long,2026-03-26 04:04,Stop,0.61,1369,999.37,-166.11,-16.61,0,0.00,-165.28,-16.52,-3382.74,-75.17
66,Entry long,2026-03-26 04:02,Long,0.73,1369,999.37,-166.11,-16.61,0,0.00,-165.28,-16.52,-3382.74,-75.17
67,Exit long,2026-03-26 04:57,ST Flip,0.6,1470,984.9,-104.77,-10.63,101.92,10.34,-103.88,-10.54,-3487.51,-77.50
67,Entry long,2026-03-26 04:36,Long,0.67,1470,984.9,-104.77,-10.63,101.92,10.34,-103.88,-10.54,-3487.51,-77.50
68,Exit long,2026-03-26 06:44,Stop,0.58,1562,984.06,-79.99,-8.12,0,0.00,-79.08,-8.03,-3567.5,-79.28
68,Entry long,2026-03-26 06:37,Long,0.63,1562,984.06,-79.99,-8.12,0,0.00,-79.08,-8.03,-3567.5,-79.28
69,Exit long,2026-03-26 08:12,Stop,0.58,1538,999.7,-109.55,-10.95,0,0.00,-108.66,-10.86,-3677.05,-81.71
69,Entry long,2026-03-26 08:02,Long,0.65,1538,999.7,-109.55,-10.95,0,0.00,-108.66,-10.86,-3677.05,-81.71
70,Exit long,2026-03-26 09:33,Stop,0.6,1492,1014.56,-121.27,-11.94,0,0.00,-120.37,-11.85,-3798.32,-84.41
70,Entry long,2026-03-26 09:28,Long,0.68,1492,1014.56,-121.27,-11.94,0,0.00,-120.37,-11.85,-3798.32,-84.41
71,Exit long,2026-03-26 10:21,Stop,0.59,1428,999.6,-158.92,-15.88,0,0.00,-158.08,-15.80,-3957.24,-87.94
71,Entry long,2026-03-26 09:44,Long,0.7,1428,999.6,-158.92,-15.88,0,0.00,-158.08,-15.80,-3957.24,-87.94
72,Exit long,2026-03-26 10:43,Stop,0.62,1449,970.83,-74.32,-7.65,0,0.00,-73.42,-7.56,-4031.56,-89.59
72,Entry long,2026-03-26 10:40,Long,0.67,1449,970.83,-74.32,-7.65,0,0.00,-73.42,-7.56,-4031.56,-89.59
73,Exit long,2026-03-26 12:31,ST Flip,0.77,1204,987.28,-62.11,-6.29,179.61,18.17,-73.23,-7.41,-4093.68,-90.97
73,Entry long,2026-03-26 11:46,Long,0.82,1204,987.28,-62.11,-6.29,179.61,18.17,-73.23,-7.41,-4093.68,-90.97
74,Exit long,2026-03-26 13:45,ST Flip,1.01,1063,999.22,72.34,7.23,371.05,37.10,-43.52,-4.35,-4021.34,-89.36
74,Entry long,2026-03-26 12:40,Long,0.94,1063,999.22,72.34,7.23,371.05,37.10,-43.52,-4.35,-4021.34,-89.36
75,Exit long,2026-03-26 14:31,ST Flip,0.98,900,999,-118.88,-11.89,8,0.80,-118,-11.80,-4140.22,-92.00
75,Entry long,2026-03-26 14:15,Long,1.11,900,999,-118.88,-11.89,8,0.80,-118,-11.80,-4140.22,-92.00
76,Exit long,2026-03-26 14:57,RSI Exit,1.35,900,999,213.79,21.38,269,26.90,-46,-4.60,-3926.43,-87.25
76,Entry long,2026-03-26 14:41,Long,1.11,900,999,213.79,21.38,269,26.90,-46,-4.60,-3926.43,-87.25
77,Exit long,2026-03-26 16:26,RSI Exit,1.79,719,992.22,292.51,29.45,336.94,33.92,-36.94,-3.72,-3633.92,-80.75
77,Entry long,2026-03-26 16:18,Long,1.38,719,992.22,292.51,29.45,336.94,33.92,-36.94,-3.72,-3633.92,-80.75
78,Exit long,2026-03-26 19:14,ST Flip,1.73,571,1004.96,-19.12,-1.90,84.65,8.41,-23.84,-2.37,-3653.05,-81.18
78,Entry long,2026-03-26 18:40,Long,1.76,571,1004.96,-19.12,-1.90,84.65,8.41,-23.84,-2.37,-3653.05,-81.18
79,Exit long,2026-03-26 19:54,ST Flip,1.73,552,999.12,-46.11,-4.61,10.04,1.00,-45.16,-4.52,-3699.16,-82.20
79,Entry long,2026-03-26 19:49,Long,1.81,552,999.12,-46.11,-4.61,10.04,1.00,-45.16,-4.52,-3699.16,-82.20
80,Exit long,2026-03-27 04:04,Stop,1.71,529,999.81,-97.12,-9.70,25.45,2.54,-96.22,-9.61,-3796.29,-84.36
80,Entry long,2026-03-27 04:01,Long,1.89,529,999.81,-97.12,-9.70,25.45,2.54,-96.22,-9.61,-3796.29,-84.36
81,Exit long,2026-03-27 05:02,ST Flip,1.72,574,998.76,-13.47,-1.35,56.4,5.64,-29.7,-2.97,-3809.75,-84.66
81,Entry long,2026-03-27 04:46,Long,1.74,574,998.76,-13.47,-1.35,56.4,5.64,-29.7,-2.97,-3809.75,-84.66
82,Exit long,2026-03-27 05:47,Stop,1.66,571,1004.96,-59.05,-5.87,0,0.00,-58.1,-5.78,-3868.8,-85.97
82,Entry long,2026-03-27 05:38,Long,1.76,571,1004.96,-59.05,-5.87,0,0.00,-58.1,-5.78,-3868.8,-85.97
83,Exit long,2026-03-27 06:23,ST Flip,1.74,571,999.25,-7.7,-0.77,56.1,5.61,-23.84,-2.38,-3876.51,-86.14
83,Entry long,2026-03-27 06:07,Long,1.75,571,999.25,-7.7,-0.77,56.1,5.61,-23.84,-2.38,-3876.51,-86.14
84,Exit long,2026-03-27 07:00,Stop,1.7,561,998.58,-46.83,-4.69,0,0.00,-45.88,-4.59,-3923.34,-87.19
84,Entry long,2026-03-27 06:58,Long,1.78,561,998.58,-46.83,-4.69,0,0.00,-45.88,-4.59,-3923.34,-87.19
85,Exit long,2026-03-27 08:07,ST Flip,1.69,578,1005.72,-30.88,-3.07,56.79,5.64,-29.91,-2.97,-3954.22,-87.87
85,Entry long,2026-03-27 07:58,Long,1.74,578,1005.72,-30.88,-3.07,56.79,5.64,-29.91,-2.97,-3954.22,-87.87
